game_id,timestamp,experiment,use_memory,temperature,num_players,round_number,success,cards_played,time_taken,final_success,model_config
a1b2c3d4,2024-01-15T10:30:00,baseline_gpt-3.5-turbo,false,0.7,3,1,true,"[15, 42, 78]",8.2,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
a1b2c3d4,2024-01-15T10:30:08,baseline_gpt-3.5-turbo,false,0.7,3,2,true,"[5, 12, 28, 45, 67, 89]",12.5,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
a1b2c3d4,2024-01-15T10:30:21,baseline_gpt-3.5-turbo,false,0.7,3,3,false,"[8, 35, 22]",5.3,false,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
e5f6g7h8,2024-01-15T10:31:00,learning_gpt-3.5-turbo,true,0.7,3,1,true,"[23, 56, 91]",9.1,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
e5f6g7h8,2024-01-15T10:31:09,learning_gpt-3.5-turbo,true,0.7,3,2,true,"[3, 18, 31, 47, 62, 84]",11.8,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
e5f6g7h8,2024-01-15T10:31:21,learning_gpt-3.5-turbo,true,0.7,3,3,true,"[7, 14, 29, 38, 51, 66, 73, 88, 95]",15.2,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
i9j0k1l2,2024-01-15T10:32:00,baseline_gpt-4o-mini,false,0.7,3,1,true,"[11, 37, 82]",7.5,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
i9j0k1l2,2024-01-15T10:32:08,baseline_gpt-4o-mini,false,0.7,3,2,true,"[4, 19, 26, 41, 58, 77]",10.3,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
i9j0k1l2,2024-01-15T10:32:18,baseline_gpt-4o-mini,false,0.7,3,3,true,"[2, 13, 24, 36, 49, 61, 75, 87, 96]",14.7,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
i9j0k1l2,2024-01-15T10:32:33,baseline_gpt-4o-mini,false,0.7,3,4,true,"[6, 16, 21, 33, 44, 53, 64, 72, 85, 90, 98, 100]",18.9,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
m3n4o5p6,2024-01-15T10:33:00,mixed_team,false,0.7,3,1,true,"[17, 48, 79]",8.8,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-3.5-turbo""}"
m3n4o5p6,2024-01-15T10:33:09,mixed_team,false,0.7,3,2,false,"[9, 34, 25]",4.2,false,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-3.5-turbo""}"
q7r8s9t0,2024-01-15T10:34:00,temperature_0.3,false,0.3,3,1,true,"[20, 55, 86]",6.9,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
q7r8s9t0,2024-01-15T10:34:07,temperature_0.3,false,0.3,3,2,true,"[1, 10, 27, 39, 54, 71]",9.7,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
q7r8s9t0,2024-01-15T10:34:17,temperature_0.3,false,0.3,3,3,true,"[8, 17, 30, 43, 57, 68, 76, 83, 94]",13.4,true,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
u1v2w3x4,2024-01-15T10:35:00,temperature_1.0,false,1.0,3,1,false,"[52, 31]",3.8,false,"{""P1"": ""gpt-3.5-turbo"", ""P2"": ""gpt-3.5-turbo"", ""P3"": ""gpt-3.5-turbo""}"
y5z6a7b8,2024-01-15T10:36:00,learning_gpt-4o-mini,true,0.7,3,1,true,"[12, 46, 81]",7.2,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
y5z6a7b8,2024-01-15T10:36:07,learning_gpt-4o-mini,true,0.7,3,2,true,"[5, 22, 35, 50, 63, 92]",10.1,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
y5z6a7b8,2024-01-15T10:36:17,learning_gpt-4o-mini,true,0.7,3,3,true,"[3, 11, 26, 40, 52, 65, 74, 89, 97]",12.8,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
y5z6a7b8,2024-01-15T10:36:30,learning_gpt-4o-mini,true,0.7,3,4,true,"[1, 14, 28, 37, 48, 59, 69, 78, 86, 93, 99, 100]",16.3,true,"{""P1"": ""gpt-4o-mini"", ""P2"": ""gpt-4o-mini"", ""P3"": ""gpt-4o-mini""}"
